Construction year,Covered parking spaces,Outdoor parking spaces,Living area,Living room,Dining room,Kitchen type,Bedrooms,Dressing room,Bathrooms,Toilets,Office,Furnished,TV cable,Surface of the plot,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Garden,Garden orientation,Terrace,price,zipcode,Available as of,Available date,Neighbourhood or locality,Floor,Number of floors,Building condition,Number of frontages,Surroundings type,Living room surface,Kitchen surface,Bedroom 1 surface,Bedroom 2 surface,Basement,Terrace surface,Bedroom 3 surface,Armored door,Office surface,Street frontage width,Shower rooms,Primary energy consumption,Energy class,Unnamed: 47,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Planning permission obtained,Extra information,Virtual visit,Elevator,Accessible for disabled people,Intercom,Swimming pool,Tenement building,Address,Website,Flood zone type,Attic,Width of the lot on the street,Property name,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Bedroom 4 surface,Professional space surface,Garden surface,How many fireplaces?,Basement surface,Attic surface,Bedroom 5 surface,Visio phone,Laundry room,Professional space,As built plan,Heating type,Double glazing,Obligation to build,Terrace orientation,Number of annexes,Secure access / alarm,Jacuzzi,Sauna,External reference,Total ground floor buildable,Isolated,Caretaker,Air conditioning,Internet
2005,1,1,240,Yes,Yes,Hyper equipped,5,Yes,2,3,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€495,000",9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,91,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€365,000",9800,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,4,7,As new,2,Urban,22,4,16,10,Yes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,91,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€375,000",9800,At delivery,February 1 2024 - 12:00 AM,Gent en omstreken,5,7,As new,2,Urban,22,4,16,10,Yes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,203,Yes,Yes,Hyper equipped,3,Yes,2,3,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€1,839,000",1050,After signing the deed,January 1 2000 - 12:00 AM,1 - Bruxelles Centre,7,9,As new,2,Urban,60,4,18,16,Yes,76,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,78,Yes,Yes,Hyper equipped,1,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€220,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,2,As new,4,Urban,15,7,18,16,Yes,10,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,76,Yes,Yes,Hyper equipped,1,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€254,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,3,As new,4,Urban,19,7,14,16,Yes,11,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,76,Yes,Yes,Hyper equipped,1,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€259,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,3,As new,4,Urban,19,7,14,16,Yes,11,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,95,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€280,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,2,As new,4,Urban,29,7,12,8,Yes,12,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,95,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€280,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,2,As new,4,Urban,29,8,12,10,Yes,11,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,95,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€280,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,2,As new,4,Urban,29,7,13,9,Yes,11,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,97,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€287,500",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,2,As new,4,Urban,29,7,13,10,Yes,11,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,97,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€317,500",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,3,As new,4,Urban,31,5,14,12,Yes,10,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,97,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€320,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,3,As new,4,Urban,29,5,14,8,Yes,10,15,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,112,Yes,Yes,Hyper equipped,3,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€345,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,3,As new,4,Urban,29,8,12,10,Yes,10,10,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,110,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€349,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,3,3,As new,4,Urban,29,5,19,11,Yes,10,10,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,111,Yes,Yes,Hyper equipped,3,Yes,2,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€349,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,3,As new,4,Urban,29,8,12,10,Yes,10,10,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,115,Yes,Yes,Hyper equipped,3,Yes,2,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€350,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,3,As new,4,Urban,29,7,14,9,Yes,11,9,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,126,Yes,Yes,Hyper equipped,2,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€355,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,1,3,As new,4,Urban,29,10,15,10,Yes,11,9,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,126,Yes,Yes,Hyper equipped,3,Yes,2,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€360,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,3,As new,4,Urban,29,10,15,10,Yes,11,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,165,Yes,Yes,Hyper equipped,2,Yes,2,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€399,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,3,3,As new,4,Urban,23,7,22,16,Yes,11,8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,146,Yes,Yes,Hyper equipped,3,Yes,2,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€415,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,2,As new,4,Urban,32,6,12,10,Yes,11,8,Yes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,148,Yes,Yes,Hyper equipped,3,Yes,2,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€420,000",9890,At delivery,November 1 2023 - 12:00 AM,Gent en omstreken,2,2,As new,4,Urban,28,6,16,13,Yes,11,8,Yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11,11,75,Yes,Yes,USA hyper equipped,1,Yes,1,1,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€275,300",1090,After signing the deed,July 1 2022 - 12:00 AM,bruxelles,1,3,As new,3,Isolated,30,6,16,13,Yes,10,8,Yes,7,40 m,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11,11,81,Yes,Yes,USA hyper equipped,2,Yes,1,2,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€277,300",1090,After signing the deed,July 1 2022 - 12:00 AM,bruxelles,1,3,As new,3,Isolated,30,6,16,14,Yes,5,8,Yes,7,40 m,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11,11,81,Yes,Yes,USA hyper equipped,2,Yes,1,2,Yes,No,Yes,337,No,No,No,No,Connected,Yes,Yes,East,Yes,"€400,000",1050,Immediately,July 1 2022 - 12:00 AM,'Piétonnier Chaussée d'Ixelles',1,3,As new,3,Isolated,30,6,16,14,Yes,5,8,Yes,7,40 m,1,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
